Input,Output,Time
0.478,150,0.319
0.478,150,0.32
0.478,150,0.321
0.478,150,0.322
0.478,150,0.323
0.478,150,0.324
0.478,150,0.325
0.478,150,0.326
0.478,150,0.327
0.478,150,0.328
0.478,150,0.329
0.478,150,0.33
0.478,150,0.331
0.478,150,0.332
0.478,150,0.333
0.478,150,0.334
0.478,150,0.335
0.478,150,0.336
0.478,150,0.337
0.478,150,0.338
0.478,150,0.339
0.478,150,0.34
0.478,150,0.341
0.478,150,0.342
0.478,150,0.343
0.478,150,0.344
0.478,150,0.345
0.478,150,0.346
0.478,150,0.347
0.478,150,0.348
0.478,150,0.349
0.478,150,0.35
0.478,150,0.351
0.478,150,0.352
0.478,150,0.353
0.478,150,0.354
0.478,150,0.355
0.478,150,0.356
0.478,150,0.357
0.478,150,0.358
0.478,150,0.359
0.478,150,0.36
0.478,150,0.361
0.478,150,0.362
0.478,150,0.363
0.478,150,0.364
0.478,150,0.365
0.478,150,0.366
0.478,150,0.367
0.478,150,0.368
0.478,150,0.369
0.478,150,0.37
0.478,150,0.371
0.478,150,0.372
0.478,150,0.373
0.478,150,0.374
0.478,150,0.375
0.478,150,0.376
0.478,150,0.377
0.478,150,0.378
0.478,150,0.379
0.478,150,0.38
0.478,150,0.381
0.478,150,0.382
0.478,150,0.383
0.478,150,0.384
0.478,150,0.385
0.478,150,0.386
0.478,150,0.387
0.478,150,0.388
0.478,150,0.389
0.478,150,0.39
0.478,150,0.391
0.478,150,0.392
0.478,150,0.393
0.478,150,0.394
0.478,150,0.395
0.478,150,0.396
0.478,150,0.397
0.478,150,0.398
0.478,150,0.399
0.478,150,0.4
0.478,150,0.401
0.478,150,0.402
0.478,150,0.403
0.478,150,0.404
0.478,150,0.405
0.478,150,0.406
0.478,150,0.407
0.478,150,0.408
0.478,150,0.409
0.478,150,0.41
0.478,150,0.411
0.478,150,0.412
0.478,150,0.413
0.478,150,0.414
0.478,150,0.415
0.478,150,0.416
0.478,150,0.417
0.478,150,0.418
0.478,150,0.419
0.478,150,0.42
0.478,150,0.421
0.478,150,0.422
0.478,150,0.423
0.478,150,0.424
0.478,150,0.425
0.478,150,0.426
0.478,150,0.427
0.478,150,0.428
0.478,150,0.429
0.478,150,0.43
0.478,150,0.431
0.478,150,0.432
0.478,150,0.433
0.478,150,0.434
0.478,150,0.435
0.478,150,0.436
0.478,150,0.437
0.478,150,0.438
0.478,150,0.439
0.478,150,0.44
0.478,150,0.441
0.478,150,0.442
0.478,150,0.443
0.478,150,0.444
0.478,150,0.445
0.478,150,0.446
0.478,150,0.447
0.478,150,0.448
0.478,150,0.449
0.478,150,0.45
0.478,150,0.451
0.478,150,0.452
0.478,150,0.453
0.478,150,0.454
0.478,150,0.455
0.478,150,0.456
0.478,150,0.457
0.478,150,0.458
0.478,150,0.459
0.478,150,0.46
0.478,150,0.461
0.478,150,0.462
0.478,150,0.463
0.478,150,0.464
0.478,150,0.465
0.478,150,0.466
0.478,150,0.467
0.478,150,0.468
0.478,150,0.469
0.478,150,0.47
0.478,150,0.471
0.478,150,0.472
0.478,150,0.473
0.478,150,0.474
0.478,150,0.475
0.478,150,0.476
0.478,150,0.477
0.478,150,0.478
0.478,150,0.479
0.478,150,0.48
0.478,150,0.481
0.478,150,0.482
0.478,150,0.483
0.478,150,0.484
0.478,150,0.485
0.478,150,0.486
0.478,150,0.487
0.478,150,0.488
0.478,150,0.489
0.478,150,0.49
0.478,150,0.491
0.478,150,0.492
0.478,150,0.493
0.478,150,0.494
0.478,150,0.495
0.478,150,0.496
0.478,150,0.497
0.478,150,0.498
0.478,150,0.499
0.478,150,0.5
0.478,150,0.501
0.478,150,0.502
0.478,150,0.503
0.478,150,0.504
0.478,150,0.505
0.478,150,0.506
0.478,150,0.507
0.478,150,0.508
0.478,150,0.509
0.478,150,0.51
0.478,150,0.511
0.478,150,0.512
0.478,150,0.513
0.478,150,0.514
0.478,150,0.515
0.478,150,0.516
0.478,150,0.517
0.478,150,0.518
0.478,150,0.519
0.478,150,0.52
0.478,150,0.521
0.478,150,0.522
0.478,150,0.523
0.478,150,0.524
0.478,150,0.525
0.478,150,0.526
0.478,150,0.527
0.478,150,0.528
0.478,150,0.529
0.478,150,0.53
0.478,150,0.531
0.478,150,0.532
0.478,150,0.533
0.478,150,0.534
0.478,150,0.535
0.478,150,0.536
0.478,150,0.537
0.478,150,0.538
0.478,150,0.539
0.478,150,0.54
0.478,150,0.541
0.478,150,0.542
0.478,150,0.543
0.478,150,0.544
0.478,150,0.545
0.478,150,0.546
0.478,150,0.547
0.478,150,0.548
0.478,150,0.549
0.478,150,0.55
0.478,150,0.551
0.478,150,0.552
0.478,150,0.553
0.478,150,0.554
0.478,150,0.555
0.478,150,0.556
0.478,150,0.557
0.478,150,0.558
0.478,150,0.559
0.478,150,0.56
0.478,150,0.561
0.478,150,0.562
0.478,150,0.563
0.478,150,0.564
0.478,150,0.565
0.478,150,0.566
0.478,150,0.567
0.478,150,0.568
0.478,150,0.569
0.478,150,0.57
0.478,150,0.571
0.478,150,0.572
0.478,150,0.573
0.478,150,0.574
0.478,150,0.575
0.478,150,0.576
0.478,150,0.577
0.478,150,0.578
0.478,150,0.579
0.478,150,0.58
0.478,150,0.581
0.478,150,0.582
0.478,150,0.583
0.478,150,0.584
0.478,150,0.585
0.478,150,0.586
0.478,150,0.587
0.478,150,0.588
0.478,150,0.589
0.478,150,0.59
0.478,150,0.591
0.478,150,0.592
0.478,150,0.593
0.478,150,0.594
0.478,150,0.595
0.478,150,0.596
0.478,150,0.597
0.478,150,0.598
0.478,150,0.599
0.478,150,0.6
0.478,150,0.601
0.478,150,0.602
0.478,150,0.603
0.478,150,0.604
0.478,150,0.605
0.478,150,0.606
0.478,150,0.607
0.478,150,0.608
0.478,150,0.609
0.478,150,0.61
0.478,150,0.611
0.478,150,0.612
0.478,150,0.613
0.478,150,0.614
0.478,150,0.615
0.478,150,0.616
0.478,150,0.617
0.478,150,0.618
0.478,150,0.619
0.478,150,0.62
0.478,150,0.621
0.478,150,0.622
0.478,150,0.623
0.478,150,0.624
0.478,150,0.625
0.478,150,0.626
0.478,150,0.627
0.478,150,0.628
0.478,150,0.629
0.478,150,0.63
0.478,150,0.631
0.478,150,0.632
0.478,150,0.633
0.478,150,0.634
0.478,150,0.635
0.478,150,0.636
0.478,150,0.637
0.478,150,0.638
0.478,150,0.639
0.478,150,0.64
0.478,150,0.641
0.478,150,0.642
0.478,150,0.643
0.478,150,0.644
0.478,150,0.645
0.478,150,0.646
0.478,150,0.647
0.478,150,0.648
0.478,150,0.649
0.478,150,0.65
0.478,150,0.651
0.478,150,0.652
0.478,150,0.653
0.478,150,0.654
0.478,150,0.655
0.478,150,0.656
0.478,150,0.657
0.478,150,0.658
0.478,150,0.659
0.478,150,0.66
0.478,150,0.661
0.478,150,0.662
0.478,150,0.663
0.478,150,0.664
0.478,150,0.665
0.478,150,0.666
0.478,150,0.667
0.478,150,0.668
0.478,150,0.669
0.478,150,0.67
0.478,150,0.671
