Input[V],Output[V],Time[s]
12,24,0
12,24.0179431275996,0.001
12,24.052589616067,0.002
12,24.0903500520015,0.003
12,24.1281637507116,0.004
12,24.1654878945098,0.005
12,24.2022667099262,0.006
12,24.2384420136029,0.007
12,24.274015488264,0.008
12,24.3090262400319,0.009
12,24.3434079553351,0.01
12,24.3772416053626,0.011
12,24.410558746317,0.012
12,24.4433341372869,0.013
12,24.4756160175045,0.014
12,24.5073738877801,0.015
12,24.5386112044146,0.016
12,24.5693218886173,0.017
12,24.5995358682166,0.018
12,24.6292599208528,0.019
12,24.6585029129148,0.02
12,24.6872717146614,0.021
12,24.7155749156361,0.022
12,24.7434191654914,0.023
12,24.7708127777309,0.024
12,24.7977621883053,0.025
12,24.8242754435445,0.026
12,24.8503587725651,0.027
12,24.8760199631096,0.028
12,24.9012650441079,0.029
12,24.9261015530243,0.03
12,24.9505353250361,0.031
12,24.9745736553737,0.032
12,24.9982221916873,0.033
12,25.0214879947582,0.034
12,25.0443765307364,0.035
12,25.0668946334886,0.036
12,25.0890475934975,0.037
12,25.1108420250078,0.038
12,25.1322830484801,0.039
12,25.1533770655956,0.04
12,25.1741290322562,0.041
12,25.1945451444108,0.042
12,25.2146301986919,0.043
12,25.2343901919273,0.044
12,25.2538297665987,0.045
12,25.2729547268119,0.046
12,25.2917695658517,0.047
12,25.3102799012956,0.048
12,25.3284900820262,0.049
12,25.3464055450873,0.05
12,25.3640304996001,0.051
12,25.3813702078765,0.052
12,25.3984287437677,0.053
12,25.4152112004691,0.054
12,25.4317215209094,0.055
12,25.4479646346023,0.056
12,25.4639443577614,0.057
12,25.479665461479,0.058
12,25.4951316393261,0.059
12,25.5103475090648,0.06
12,25.5253166455645,0.061
12,25.5400435181851,0.062
12,25.5545315869092,0.063
12,25.5687851774635,0.064
12,25.5828076386362,0.065
12,25.5966031571365,0.066
12,25.6101749741317,0.067
12,25.6235271417815,0.068
12,25.6366627970908,0.069
12,25.6495858619937,0.07
12,25.6622993726802,0.071
12,25.6748071250441,0.072
12,25.6871120577003,0.073
12,25.6992178445529,0.074
12,25.7111273297775,0.075
12,25.7228440692089,0.076
12,25.7343708156185,0.077
12,25.7457110105661,0.078
12,25.7568673183565,0.079
12,25.7678430699471,0.08
12,25.778640844019,0.081
12,25.7892638644815,0.082
12,25.7997146271439,0.083
12,25.8099962523079,0.084
12,25.8201111555741,0.085
12,25.830062356966,0.086
12,25.8398521944534,0.087
12,25.8494835910043,0.088
12,25.8589588094525,0.089
12,25.8682806788296,0.09
12,25.877451389248,0.091
12,25.886473678822,0.092
12,25.8953496672795,0.093
12,25.9040820047393,0.094
12,25.9126727428069,0.095
12,25.9211244464333,0.096
12,25.9294391012912,0.097
12,25.9376191899007,0.098
12,25.9456666341203,0.099
12,25.9535838366888,0.1
12,25.9613726577012,0.101
12,25.9690354226788,0.102
12,25.9765739319382,0.103
12,25.9839904362646,0.104
12,25.9912866781173,0.105
12,25.9984648359473,0.106
12,26.0055265962159,0.107
12,26.0124740673646,0.108
12,26.0193088816565,0.109
12,26.0260330797733,0.11
12,26.0326482415215,0.111
12,26.0391563420009,0.112
12,26.0455589102474,0.113
12,26.0518578578862,0.114
12,26.058054664814,0.115
12,26.0641511812217,0.116
12,26.0701488394462,0.117
12,26.0760494302181,0.118
12,26.0818543398427,0.119
12,26.0875653015015,0.12
12,26.0931836569478,0.121
12,26.0987110836631,0.122
12,26.1041488802804,0.123
12,26.1094986703716,0.124
12,26.1147617108349,0.125
12,26.1199395730651,0.126
12,26.1250334735671,0.127
12,26.1300449332352,0.128
12,26.1349751294792,0.129
12,26.1398255343159,0.13
12,26.1445972873163,0.131
12,26.1492918131906,0.132
12,26.1539102148871,0.133
12,26.1584538713295,0.134
12,26.1629238500203,0.135
12,26.1673214855685,0.136
12,26.1716478111698,0.137
12,26.1759041185424,0.138
12,26.180091407678,0.139
12,26.1842109287824,0.14
12,26.1882636497102,0.141
12,26.1922507804891,0.142
12,26.1961732578694,0.143
12,26.2000322529916,0.144
12,26.2038286725015,0.145
12,26.2075636499023,0.146
12,26.2112380627027,0.147
12,26.2148530079781,0.148
12,26.2184093350364,0.149
12,26.2219081056959,0.15
12,26.2253501419701,0.151
12,26.2287364715534,0.152
12,26.2320678900419,0.153
12,26.2353453921026,0.154
12,26.2385697477634,0.155
12,26.2417419197254,0.156
12,26.2448626532697,0.157
12,26.2479328801589,0.158
12,26.2509533217229,0.159
12,26.2539248797797,0.16
12,26.2568482524776,0.161
12,26.2597243126529,0.162
12,26.2625537360171,0.163
12,26.2653373673559,0.164
12,26.2680758606651,0.165
12,26.2707700335814,0.166
12,26.2734205190831,0.167
12,26.27602810853,0.168
12,26.2785934145583,0.169
12,26.2811172030956,0.17
12,26.2836000670896,0.171
12,26.286042747853,0.172
12,26.2884458192779,0.173
12,26.2908099988532,0.174
12,26.2931358420274,0.175
12,26.2954240432315,0.176
12,26.2976751400633,0.177
12,26.2998898046367,0.178
12,26.3020685572725,0.179
12,26.3042120484845,0.18
12,26.3063207818721,0.181
12,26.3083953870433,0.182
12,26.3104363514129,0.183
12,26.3124442843552,0.184
12,26.3144196576208,0.185
12,26.3163630610002,0.186
12,26.3182749510834,0.187
12,26.3201558987066,0.188
12,26.3220063457861,0.189
12,26.323826844813,0.19
12,26.3256178235016,0.191
12,26.3273798165874,0.192
12,26.3291132380393,0.193
12,26.3308186054076,0.194
12,26.3324963193574,0.195
12,26.3341468808065,0.196
12,26.3357706775436,0.197
12,26.3373681943882,0.198
12,26.3389398066666,0.199
12,26.3404859836176,0.2
12,26.3420070885055,0.201
12,26.343503575489,0.202
12,26.344975796158,0.203
12,26.3464241900759,0.204
12,26.3478490975333,0.205
12,26.3492509439673,0.206
12,26.3506300587325,0.207
12,26.3519868535935,0.208
12,26.3533216473203,0.209
12,26.3546348384446,0.21
12,26.3559267354921,0.211
12,26.3571977241866,0.212
12,26.3584481031386,0.213
12,26.3596782456757,0.214
12,26.3608884408121,0.215
12,26.3620790498776,0.216
12,26.363250352598,0.217
12,26.3644026986912,0.218
12,26.3655363588934,0.219
12,26.3666516716833,0.22
12,26.3677488990965,0.221
12,26.3688283687339,0.222
12,26.3698903342099,0.223
12,26.3709351125972,0.224
12,26.3719629493598,0.225
12,26.3729741513806,0.226
12,26.3739689562348,0.227
12,26.3749476609431,0.228
12,26.3759104954456,0.229
12,26.3768577472176,0.23
12,26.3777896388095,0.231
12,26.3787064484579,0.232
12,26.3796083915611,0.233
12,26.3804957374139,0.234
12,26.3813686944923,0.235
12,26.3822275234366,0.236
12,26.383072426023,0.237
12,26.3839036545156,0.238
12,26.3847214042059,0.239
12,26.385525919251,0.24
12,26.3863173886663,0.241
12,26.3870960487621,0.242
12,26.3878620824797,0.243
12,26.3886157185349,0.244
12,26.3893571339897,0.245
12,26.3900865502096,0.246
12,26.3908041385663,0.247
12,26.3915101133113,0.248
12,26.3922046403087,0.249
12,26.3928879269246,0.25
12,26.3935601336928,0.251
12,26.3942214613152,0.252
12,26.3948720651663,0.253
12,26.3955121394981,0.254
12,26.3961418346917,0.255
12,26.3967613387564,0.256
12,26.3973707972406,0.257
12,26.3979703921114,0.258
12,26.3985602642395,0.259
12,26.3991405897442,0.26
12,26.3997115049691,0.261
12,26.4002731803733,0.262
12,26.4008257479188,0.263
12,26.4013693725866,0.264
12,26.4019041820977,0.265
12,26.4024303361312,0.266
12,26.4029479583035,0.267
12,26.4034572031618,0.268
12,26.40395819035,0.269
12,26.4044510694487,0.27
12,26.4049359562565,0.271
12,26.4054129955469,0.272
12,26.4058822993972,0.273
12,26.4063440079281,0.274
12,26.4067982296152,0.275
12,26.4072451000762,0.276
12,26.4076847243002,0.277
12,26.4081172335468,0.278
12,26.408542729431,0.279
12,26.4089613389939,0.28
12,26.4093731605852,0.281
12,26.4097783171629,0.282
